first,second,gcd
1101000110011101,1001010011011001,0000000000000001
0011110011001010,0010011110100010,0000000000000010
0100000100111100,0000110101001110,0000000000000010
1010111000000100,0110100011010010,0000000000000010
1101100100001101,1011001010001100,0000000000000001
1111011101000010,1011001010000010,0000000000000010
0000011100111000,0100000111010101,0000000000000001
1001101101111111,0000010011001110,0000000000000011
1001011001101010,0000111011001100,0000000000000010
1100010000111100,1010001010011100,0000000000000100
1101110110111101,0101010010101100,0000000000000001
1000001011011010,1011101010000101,0000000000000001
0010101011000011,0110111111111000,0000000000000001
1010111011010011,1110010011110011,0000000000000001
0011101001000010,0100110100011110,0000000000000010
0001101101011111,0101100011010110,0000000000000001
1010011101000101,1000010011100100,0000000000000001
1000010111100001,1000010001110111,0000000000000001
0000011011100000,0110011011111000,0000000000101000
0011100101000001,1101000001111010,0000000000000001
1100011011011000,0100101101011101,0000000000000011
0011000111101111,0010110001011000,0000000000000011
0111111010000100,1100101111110000,0000000000000100
1000001011100011,0111011111010000,0000000000011011
1010110011100100,0011100110001000,0000000000000100
1101000001000100,1100011110101111,0000000000000001
1011101100111010,0100010001111110,0000000000000010
0110011000110000,1000000111110110,0000000000011110
0000010110111000,1001000001001100,0000000000000100
0010110110110000,1000011000100100,0000000001000100
1000010011011111,1110000110011101,0000000000000001
0010111001010110,0110100001100101,0000000000000001
1011011011101000,1101110110100100,0000000000000100
0110100001000011,0111010010101010,0000000000000001
1011111000010110,1010010100011110,0000000000000010
1100011111100111,0001111010001100,0000000001110011
1100101000110010,1001101001000111,0000000000000011
0100111001011101,0111100110101011,0000000000000001
1110101100111001,1000001000001010,0000000000000001
1110100110111110,1010001001111010,0000000000000010
0001000000111000,0000110001101101,0000000000000001
1001000000000000,0011111110111011,0000000000000001
0011100000111101,0110111111100001,0000000000000011
0000111101111011,0010011010001010,0000000000000001
0101011110001011,0110101011101000,0000000000000001
1110011100001001,1011010100101010,0000000000000001
1100011111100000,0011011000111011,0000000000000001
0111011000111000,1111001011011110,0000000000000010
1000111010111101,1011100011100010,0000000000000001
1100110011001100,1011101001001001,0000000000000001
1110111000010010,1110100000010001,0000000000000001
1001100000011110,1111111001101010,0000000000000010
1101011100100110,1101110000111110,0000000000000010
1000110100011011,0110110111100111,0000000000000001
1011011111000111,1110111100001101,0000000000000001
0101111101011011,1101001101100110,0000000000000001
1001010100111011,0011011011010011,0000000000000001
0110101101001000,0100001100111101,0000000000000001
0110011101010010,1001111100010000,0000000000001010
0010101001101100,1010101110111110,0000000000000010
0011100111000100,1011011010110000,0000000000000100
0010100111100111,1111101010111100,0000000000000001
0010010111111111,1000001010100100,0000000000000001
0010011001101001,1100001100101100,0000000000000001
0100100001110011,0111100011100000,0000000000000001
1010001001010111,1101011101011000,0000000000000011
0011101101010101,1100011111101010,0000000000000001
0110001010100111,0101000111110010,0000000000000001
1100011011011111,0000000111101000,0000000000000001
0010001010110010,0111100000011100,0000000000000010
1101000100101101,1100011010110001,0000000000000001
0100011010101000,0011011111100101,0000000000000001
1001100111101001,0010010100010110,0000000000000001
0010100110001100,1010101100011110,0000000000000010
1011100111011010,1111110011100000,0000000000000010
0001010111000001,0111111000100000,0000000000000001
0110100101010001,0110100001011101,0000000000000001
0001110010010010,0011110000010000,0000000000000010
0010001011001111,0100010110101011,0000000000000001
0010111011110110,1000100000111111,0000000000000001
0010110010011111,1001000000011010,0000000000000001
1100001011010010,0101010101101111,0000000000000001
0111011001001110,1110010000101101,0000000000000001
1100000100000011,1101000000010011,0000000000000001
0010001001010110,0000000000110010,0000000000001010
0010001001100000,0000110110100011,0000000000000001
0111111110110001,0000000011010010,0000000000000001
0110101011101001,1111010001100110,0000000000000001
0111111001100001,0110111010000101,0000000000000001
0001000000101000,1011100000011100,0000000000000100
1100001110011100,1110010000011011,0000000000000011
1100010101100111,1111001001100001,0000000000000011
0010111001010110,0100010111000111,0000000000000001
1100010100011100,1101110101100001,0000000000000011
0100110001110001,0010001010101100,0000000000000001
1001111001000101,0010010010011001,0000000000000001
0011010000011001,1010101000000111,0000000000000001
1001001101011001,0110101111011100,0000000000000001
1000101110100110,0010010010111001,0000000000000001
1001101010110010,1101110011110010,0000000000000010
1111101000000111,1110100100101100,0000000000000001
0000001000100100,0100001010100011,0000000000000001
1011101010101000,0101000000101010,0000000000000010
0110110101100000,0001101101010011,0000000000000101
0101011000000001,0011100000111111,0000000000000001
0111101011111110,1011001111110110,0000000000000010
0010101110000110,0101011000001101,0000000000000011
0000101010100000,0100111100011001,0000000000000001
1110111010100111,1001010110001101,0000000000000101
1000000000000001,1001101011111100,0000000000000001
0000010101010000,0110110001000000,0000000000010000
0010101010111010,0101000010010011,0000000000000001
0010001010100110,1111110111110111,0000000000000101
1110111011000010,1000100100000101,0000000000000001
1010111001100111,1010000101101000,0000000000000001
0110101101001100,0111010110100011,0000000000000001
1100010011100111,1010100100100110,0000000000000111
0110011101000010,1000101001000110,0000000000000010
0000011100111100,0101000101011011,0000000000000001
1101100101011111,0011100100010001,0000000000000001
1100111010100010,0000110001100101,0000000000000001
1011011001111000,1000010011101100,0000000000000100
0100000100100111,0101011001111001,0000000000000001
1110001101001100,1011100111101101,0000000000000001
0111101000101001,0101110100101100,0000000000000001
0011101101110010,1000010010001001,0000000000000111
1100111001000011,0011010000001001,0000000000000001
1001110100001001,1011111110100101,0000000000000001
0101000110000101,1011011001110001,0000000000000001
1010011111010101,1001001111111100,0000000000000001
0101011001011010,0011001111010110,0000000000000010
1010011110101011,1000011001000111,0000000000000001
1111101110100110,0010100110000111,0000000000000001
0100001011100100,1110111110101011,0000000000000001
1010001001010100,0011111110010101,0000000000000001
0001101100100100,0110011110011101,0000000000000001
0010111101001101,0111100101011010,0000000000000001
0101101101100010,0101010011011110,0000000000000110
0111100111011110,0001111000101111,0000000000000001
1001110001100000,0100011000001000,0000000001001000
1010001011010011,1011001001010101,0000000000000001
1101000111100010,0100000110110100,0000000000001010
0101111100101000,1111101011111001,0000000000000001
0000000101101000,1011010110110010,0000000000000010
1110110000111010,0011000111111011,0000000000000011
0000000000111100,1111010101011100,0000000000000100
0101000001111100,1010001010000010,0000000000000010
1111111010111011,1000010001111001,0000000000000001
1100001111110000,0011110101001000,0000000000001000
0001101001101101,1001000000111011,0000000000000001
1001001001011100,0110100100000110,0000000000000010
1011011101011111,0001101110100101,0000000000000001
1011000010110011,1000110000001100,0000000000000001
1001111000110110,0001101111011010,0000000000000010
1010001001110000,1000001101011010,0000000000101110
0000101111001011,0100000000010111,0000000000000001
0101101010011000,0010000001110010,0000000000000010
1001001000011110,1011110000101111,0000000000000001
1000101011100011,1010110110010100,0000000000000001
0110001011101101,0111110001010101,0000000000000001
1011100101010110,1001110010010110,0000000000000010
1110111000010001,1101000111000011,0000000000000001
0101110101001001,0001110101111000,0000000000000001
0111001110000101,1000111001000011,0000000000000001
0000001101001111,0011100110010111,0000000000000001
0000010110100101,1101011011000110,0000000000000001
0001111101110101,0001000010001001,0000000000000001
0111001110011000,1110110010000111,0000000000000001
0001010010011000,1101100110010110,0000000000000010
0001101010001111,1111110100001010,0000000000000001
0110011010010011,0100011000110110,0000000000000001
1110110110000101,0000111011110001,0000000000000101
1010011001000100,1001111010111000,0000000000001100
1110011100000101,0000000000111111,0000000000000001
1001110111001011,1110000011110000,0000000000000001
1001110111010111,0011100101100001,0000000000000001
1011011000101111,1110101011010011,0000000000000001
1010000011101100,1000000101100011,0000000000000011
0111010101001101,0110111000010010,0000000000000001
1000101000111011,0000000110101000,0000000000000001
0111000100000000,1010010000001101,0000000000000001
1011110100101001,1011101010000010,0000000000000001
1101111100110010,0111001011011000,0000000000000110
1101110101110001,1011000000001101,0000000001010011
1000111111101100,1101101000111101,0000000000000001
0010000111110010,0101001000101010,0000000000000010
1101011111001001,1011000110100010,0000000000000001
0001101001111110,1110100100010011,0000000000000001
0011011011111010,0001001001100011,0000000000000001
0101100011111110,0011011111010010,0000000000000010
1101011100100010,1101111000110101,0000000000000001
0100100001011100,1010111011110101,0000000000000001
1011010110011001,0101010011100101,0000000000000001
1111111110101011,1000111000001110,0000000000000011
0010110010011000,1011110001000010,0000000000000010
1001000000111010,1001000010011001,0000000000000001
0010001101110001,0000000000110001,0000000000000001
0101000111111010,0001110000001001,0000000000000001
0101011000111111,1101101011111100,0000000000000001
0110110001100011,1110001100111110,0000000000000001
1011000001010111,1111111110100110,0000000000000001
1111010101100101,1111011111010001,0000000000000001
1110010001101001,1011010110111101,0000000000000001
0111110000010000,1001100100100101,0000000000000101
1001100001010111,1011100011110001,0000000000000001
0100000011110111,0111111000011110,0000000000000001
0011001111100000,0110000001010111,0000000000000001
0100100000100011,0111100101000000,0000000000000001
0111000111000010,0001001011000110,0000000000000010
1000010100001111,0001111000100110,0000000000000001
1111001001111000,0000000100001011,0000000000000001
0111010000001001,0101111110001011,0000000000000001
0100110101001110,0010101110001010,0000000000000010
0110000100011011,1100100011111110,0000000000000001
0010001011000001,0110011010001011,0000000000000001
1000111110010111,1010111111110010,0000000000000011
1000010100001111,0111000100000110,0000000000010111
0011000011000110,1011000101100000,0000000000000110
1001100110001011,0110101011011101,0000000000000001
1000010110010011,1101000111011111,0000000000000001
1011001000100001,1110101000111000,0000000000000001
1010010010111101,0000110001001111,0000000000000001
0101110001111111,1011111011110000,0000000000000001
0100010001010110,1001111000011011,0000000000000001
1000100101000010,1010110110001000,0000000000000010
0011110010111100,0011101110001101,0000000000000001
0100011100100110,0000011110011101,0000000000000001
1001100100001011,1111001001110010,0000000000000001
0000101111101101,0101011000011011,0000000000000001
1010010000011011,1110011110011001,0000000000000001
0010111111000100,0111101010111111,0000000000000001
0011110000111001,1101000100000011,0000000000000001
0011110100111101,0011001000110001,0000000000000001
1110011011001001,1011110001000100,0000000000000001
1100110010010110,1010000100011001,0000000000000011
0011011011011101,1010100111000011,0000000000000001
1010001001011000,0001111000110100,0000000000000100
0001101011001111,0011001100001111,0000000000000001
0010101110100000,1100001110110010,0000000000000010
1111010100100100,0101000011010101,0000000000000001
0001101111011001,1010001000011101,0000000000000001
1110100000001111,0001011101100000,0000000000000001
1010001100100110,1000000011001011,0000000000000001
0100011011000110,0110000111111110,0000000000000010
0010111000101100,1000101001000101,0000000000000011
1101011110001111,1110001010001010,0000000000000001
0000010001010111,1010000011110111,0000000000000001
1001000010010000,1111011111010101,0000000000000001
0110010100001010,1011101010111101,0000000000000011
1001011100010110,0001011011001111,0000000000000001
1111000001011100,0011110101011001,0000000000000001
1000011110111010,0101101100111001,0000000000000001
1000000100101100,1111110000100110,0000000000000010
0101111101010100,0011000100111000,0000000000000100
0101000001100010,0011100101010011,0000000000000001
1010011011101100,1110110010010011,0000000000000001
1110010000110010,0001000010011000,0000000000000010
0110111110000111,1001000111000011,0000000000000001
0110000110111011,1001010010001110,0000000000000001
0011110111000100,0111111000011100,0000000000000100
0101100100100011,0100100101110011,0000000000000001
1101001111110100,1111011111001100,0000000000000100
0000110001110000,1110110111101101,0000000000000001
1111000101000001,0010111100001110,0000000000000001
1110010100011110,0000110000110011,0000000000000001
0100011101000001,1110000110110100,0000000000000001
1100110101111011,0001101011100111,0000000000000001
1000000010101010,1001000010110111,0000000000000001
1001010111111010,0001110100101110,0000000000010010
0110110011101000,1000101010111001,0000000000010001
0100011011111001,1101101000100010,0000000000000001
1101110011101111,0011110011101110,0000000000000001
0001100000100010,1000110000000000,0000000000000010
0001110110100001,0011111011010111,0000000000000001
1111001100111101,0011001101110001,0000000000000001
0000100011100110,0100011001001101,0000000000000001
1100110011000000,0011010011100111,0000000000000001
1110100010101001,1010111111001101,0000000000000001
1111110101001000,0111101100110111,0000000000000001
1101110101001010,1101100010110111,0000000000000001
1000000110100001,0101100100110111,0000000000000001
1101010110000100,1101010101000110,0000000000000010
1000000101110001,1111001000000101,0000000000000001
1111000001111000,0101110010011100,0000000000000100
0011011000110101,1011001101101111,0000000000000001
1000100101111001,0110011101000101,0000000000000001
0111001011010010,0000000000111111,0000000000001001
1111010001001000,0000110101001010,0000000000000010
1110110001100010,1100100000110101,0000000000000001
1001110000101110,1101001110011101,0000000000000001
0011111001010010,1110001111110010,0000000000000010
1010111011100001,0101001100001011,0000000000000001
0010001100101001,0100011110101001,0000000000000001
1101000010101100,1110100011101001,0000000000000101
0110111010110000,0100111101010010,0000000000010110
1100101001100001,1001010010010101,0000000000000001
1010111000101001,1101111011001001,0000000000000001
0101100001000101,0111011000000101,0000000000000001
1010111011010001,1011101111100100,0000000000000001
1001100010011101,0101110100100000,0000000000000001
1111100000010010,0111100101010100,0000000000000010
0011100001001110,0011100011000000,0000000000000010
1011101101010100,0010000010101010,0000000000000010
1010000101010011,1011011000101100,0000000000000001
0110000001011000,1001110011000011,0000000000000001
0110000100111000,1011001110111100,0000000000000100
1011010010011110,0010000000010111,0000000000000001
0100001011101101,0110110101100100,0000000000000001
0010011001110011,0101000111111101,0000000000000001
0110110000001101,1111000011000001,0000000000000001
1001101000110000,0011001010010111,0000000000000001
1001100011101000,0110000101111101,0000000000000011
1000010101000010,0010000000000110,0000000000000010
1110101010110101,1001011001110111,0000000000000001
0011100010000111,1101010110110001,0000000000000001
0001100010111001,0001001001001100,0000000000000001
0010100011011011,1010011111000000,0000000000000001
0111010010100111,1101001110101110,0000000000000001
0100101111000010,1110111101011000,0000000000000010
1000110001011111,0111010111100100,0000000000000101
1111110101000000,0110000000000101,0000000000000001
1101111010000000,0011101110011001,0000000000000001
1111011101100010,0010110101101011,0000000000000001
1111101010011001,1100010001000011,0000000000000001
1101100010101101,1001011011101000,0000000000000001
0001111010111101,0010110011100101,0000000000000011
0111010111001000,0111010010000110,0000000000000010
0110101100100110,0001111011100011,0000000000000001
0001110110011000,0101100010101110,0000000000000010
0011101110000111,0001110001101011,0000000000000001
0011010111010000,1100010101001000,0000000000001000
1010001001101101,0100100011110001,0000000000000001
1010011101011010,0010101100010001,0000000000000001
1111110010100001,0111000101100011,0000000000000001
0110101000010001,0101000011111110,0000000000000111
0111000001000001,0101001010011010,0000000000000001
1000110110111000,1110100001110101,0000000000000001
0101010100100110,0100101000100100,0000000000000010
0000001110010010,0101100000010010,0000000000000010
1111011011100100,1101001000011100,0000000000000100
0001110100010001,1110001001000001,0000000000000001
1111001100010110,0011001101000101,0000000000100011
0100011011100000,1111001110110001,0000000000000011
1000001010010111,1001111110100100,0000000000000001
0100001100101110,0000001110011111,0000000000000001
0010000001000110,0101101001000001,0000000000000001
1111100001111111,0011101001101010,0000000000000001
0001111111100110,1001011101000001,0000000000000011
1100111011100100,1011110111000010,0000000000000010
0100110110111111,0111000000111111,0000000000000001
1001011011010111,0111111010010000,0000000000000101
0111111010111011,0000010111110110,0000000000000001
1000000100100101,1011000100000000,0000000000000001
1011100111100110,1110000000011000,0000000000000010
1111111010111111,0010000001110111,0000000000000001
1001001111001111,0100110111111101,0000000000000011
1000100001111100,1000011101111011,0000000000000001
0111100011011111,1010100010001110,0000000000000001
1110101101001000,0001000110101111,0000000000000001
0100010010111111,0111110011101001,0000000000000001
0000011101011101,1010101001000011,0000000000011101
0101111100010101,0001001100000010,0000000000000001
0110111010101101,0011111101110000,0000000000011101
0000011111011110,0000101101101110,0000000000100110
0101010100001010,0100101110110111,0000000000000111
1001001000101111,0011101101011001,0000000000000001
0000111010100111,0101101110010000,0000000000000001
1000101000100011,1010101111000010,0000000000000001
1100010011110111,0000001001111101,0000000000000001
0111111011110111,0001001101111001,0000000000000001
0110001001100010,1001001010001001,0000000000000111
0110011000111110,1110101101000110,0000000000000010
1001111010110110,0101000110110100,0000000000000010
1001110011001111,0110100000111111,0000000000000001
0110001000101001,1011110010111100,0000000000000001
1000011010101101,0011111110100110,0000000000000001
0000010100100100,1011011110100010,0000000000000010
1101101111000010,0111000011001001,0000000000000001
0000100011011111,0000011100100010,0000000000000001
1101110100001100,0110011101000001,0000000000000001
1011011101011000,1001001111000001,0000000000000001
0010001100111101,1001000110111101,0000000000000001
0000010011110010,0100110100001111,0000000000000001
1010010101011000,1101010010110001,0000000000000001
0101010011110000,1100000101010011,0000000000001001
0101101111111011,0010011110101010,0000000000000001
1001100101111010,0101011001101100,0000000000000010
1100000111000101,0000110110111010,0000000000000001
0000100011000011,0111100110111011,0000000000000001
0001100010001001,1101001101001001,0000000000000001
1101001010001001,1100111111111111,0000000000000001
1110110101000001,0110011000100100,0000000000000001
0000111011000001,1001010010101010,0000000000000011
1010000110001000,0011011000100100,0000000000001100
1000001010100110,0110100110110111,0000000000000001
0110100011000011,0100010010111101,0000000000000001
0010011100011100,0110101100011101,0000000000000001
1011111001000010,0010111011111010,0000000000001110
0010011010000000,1010100001111001,0000000000000001
1101011101001101,1110110000001100,0000000000000001
0001100011100100,0111011101001110,0000000000000010
1101101001001010,1111110010001110,0000000000000010
0110001111110011,0011101111000011,0000000000000001
0111010000010010,1110110000100000,0000000000000010
0110001010111110,0100101011000101,0000000000000001
1010001001010000,1010111001110001,0000000000000001
1100000100010100,1111011111110001,0000000000000001
0101101011110101,1110111010011010,0000000000000001
0110110100110111,0000101011101000,0000000000000001
0111100011111111,1011000010100010,0000000000000001
0000100111001111,0110000001010111,0000000000000011
0010101001101010,1010100000101110,0000000000000010
0000001010100101,1001000100001011,0000000000000001
0111001101001010,1110101010010100,0000000000000010
0010000001000001,0101011100001001,0000000000000001
1011100000111110,0111111100000000,0000000000000010
1101111010110110,1001101000100001,0000000000000001
1101110000000101,1111100100010000,0000000000000101
0001101101111000,0110001110100010,0000000000000110
1011111101110110,1011100011000011,0000000000000111
0110101110001111,0001110000000110,0000000000000001
1101100000101001,1001010111011011,0000000000000001
0011100101111110,1110010110001111,0000000000000011
1100011001100010,1111110100110011,0000000000000001
1010010100111001,1111000100001010,0000000000000001
1101110000011011,0111101010110001,0000000000000001
0111000010111000,1111111010011001,0000000000000001
0010111101001001,1001000010100000,0000000000000001
0011000000010110,0100011001100100,0000000000001010
0101010010010101,0011000100111111,0000000000000001
0101111100010101,0010101101101011,0000000000000001
1101101011011101,1110000010010000,0000000000000001
0010100100001101,1110000001001101,0000000000000001
1100010110111111,0100011100111010,0000000000000001
1000001001110010,0110010100111011,0000000000000001
1100110111001111,0100000000100100,0000000000000001
0001100111001000,0011011100011011,0000000000000001
1111000110010000,0001011011111000,0000000000101000
1111111100111000,1111010001001101,0000000000000001
0100101110001100,0111110001011111,0000000000000001
1010101010101001,1100100110010101,0000000000000001
0100111010110111,0100011010100100,0000000000000011
1101011111110111,1011101000000111,0000000000000001
0101000001101110,0000010001010110,0000000000001010
1100111000001010,0101010100001011,0000000010110001
0111001111001010,1110100001001110,0000000000000010
0000001011000001,0101110111110110,0000000000000011
0100110101111110,1100010011010001,0000000000000001
1101011010001100,1101100111001010,0000000000000010
1110000111011001,0010010000101001,0000000000000001
0000010010100011,0100011011101111,0000000000000001
0101011011010101,0010100101000001,0000000000000001
0010110010111100,0001011011011001,0000000000000001
0001000110101111,0101110011001100,0000000000000001
0101000101010011,0111001011000100,0000000000000001
1011111100010011,0000001011000100,0000000000000011
1011001010010100,0101000100000001,0000000000000001
0011100010101001,1001000000000111,0000000000000001
1101000101111011,1100011000110000,0000000000000111
1010100101100110,0111011111101111,0000000000000001
0001101000011000,1011110111101011,0000000000000001
1111111110000010,0011000011000010,0000000000000010
1000110010110000,0101100110111111,0000000000000001
0100101100010110,1100101001001100,0000000000000010
0011100100010011,0111100010101111,0000000000000001
0111110011111010,0110011110101111,0000000000000001
0010001110001010,0011011000100010,0000000000000010
0010101001000001,1001101110101111,0000000000000001
1101010001100111,0100101001001000,0000000000000001
1001101001110101,1011101000100000,0000000000000001
0110100111100111,0100011001111100,0000000000000001
1111110111101010,0111100011100010,0000000000000010
0011000001111111,0110001111101011,0000000000000001
1001111011111010,0010010101111010,0000000000010010
0101100111011101,1010011101110011,0000000000000001
0000001101001000,0011010101111100,0000000001010100
0001010100111000,1101001101011100,0000000000000100
1010101001101110,0001100100100100,0000000000000010
1110111000010110,1101100010000111,0000000000000001
0011000001010111,1111101101101111,0000000000000001
1100100101011010,0111111111100001,0000000000000001
0100011101111111,1000001101010001,0000000000000001
0011000111110000,1111110110110001,0000000000000001
1100010110101000,1101010000110101,0000000000011001
0111001111010001,0001000111000000,0000000000000001
1010100110010100,0111101100000100,0000000000000100
0100010010101010,0001011010010110,0000000000000010
1011110101001101,1000100110110000,0000000000000001
1000111001011100,1010101100110011,0000000000000011
0111001010110010,1100001011000001,0000000000000001
1100101011110011,0001011011101011,0000000000000001
0001010001011010,1000010000011111,0000000000000001
1000000010000000,0010000010011001,0000000000000001
1100011111110010,1010110011011010,0000000000000110
1001000101100100,1010001011011100,0000000000000100
1111101000110001,1001100000100011,0000000000000001
0010110001110001,0011110101001100,0000000000000001
0111100000000010,0001010011111010,0000000000000010
1010101001110110,1110101011011100,0000000000000010
0100111011110001,1100000101100100,0000000000000001
0100111010011010,1000100111000001,0000000000000001
1100010000101111,1000111010000100,0000000000000001
1000101101111010,1001010000111110,0000000001000010
0110011111011111,1110111011000111,0000000000000001
1111001000100111,0100011011111110,0000000000000001
1100100101111010,0110100111001001,0000000000010001
1001000110101101,0110101100000101,0000000000000001
0101100111111101,0101001110101011,0000000000000001
0001001111101010,0010011100011000,0000000000000010
0110111111100111,1000010001100001,0000000000000001
0000011000010111,0001011101011001,0000000000000001
1011000010111010,1101010111010100,0000000000000010
0100011011110011,0000101011010101,0000000000000001
0110111100111010,1100001100111100,0000000000000010
0011111111100101,1000000111101101,0000000000000001
1000000000111100,0011100011110111,0000000000000001
0010111011111011,1111011001110010,0000000000000011
1101111010010011,0100101111011001,0000000000000001
1001010111011010,0010011011110100,0000000000000010
0000011110101110,0101111111111111,0000001111010111
1101100000100000,1010011000101110,0000000000000010
1001100100100001,0101110110011101,0000000000000001
0001001111011010,1001101110001110,0000000000000110
1011011100110110,0011100110101101,0000000000000001
0000111100110010,1000010011111101,0000000000000101
1000011110100001,1000000111111000,0000000000000001
0001010011010001,0010110000101111,0000000000000001
0110001001110010,0010001000101011,0000000000000001
1001100110111111,1111010010110011,0000000000000001
1101100110111011,0101100100000100,0000000000000001
0101000100101111,1010111000101000,0000000000000001
0110011000010000,0101010001011101,0000000000010111
0010011101111111,1001101001010010,0000000000000001
1101000000011100,0010000100100011,0000000000000001
1110001010000101,0000100010011011,0000000000000001
1001101101011111,0011010001111101,0000000000000001
0011011111001011,0100100010010011,0000000000000011
0001100011001100,1110111000100111,0000000000000001
1111011010011111,1010111001011010,0000000000000011
1011001100010010,1010101100001000,0000000000000010
0101111010010100,1101110001000111,0000000000000001
1100011101011110,1000001110111000,0000000000000010
0110111000110101,1011110000000111,0000000000000001
1010010011011011,1011001100010100,0000000000000001
0101101001000001,1011110011101110,0000000000000001
1011100100010111,0011100001011001,0000000000000001
0110100000011100,1001000110100110,0000000000000010
0101100111111101,1011001001001100,0000000000000001
1100001001010001,0010101000011110,0000000000000001
1010101101100101,1000100001101011,0000000000000001
1010111000010101,0011000000000111,0000000000000101
1001110001100101,0110011001100100,0000000000000001
1010101001000110,0111011110011110,0000000000000010
1100100001011001,0110110001100110,0000000000000001
1011001010011000,0001010010010111,0000000000000011
1001111010100111,0001010110000111,0000000000000001
